sample_id,rows,cols,dist_type,posit_n,posit_es,abs_err,rel_err,fp32_abs_err,fp32_rel_err,x_mean,x_std,x_p1,x_p50,x_p99,y_mean,y_std,y_p1,y_p50,y_p99
12,16,16,0,8,0,1.3988,0.104397,8.39335e-07,6.26426e-08,-0.0239304,1.02132,0.0113904,0.730362,2.40787,-0.436589,0.843041,0.132338,0.919705,1.35833
12,16,16,0,8,1,0.601203,0.0448699,8.39335e-07,6.26426e-08,-0.0239304,1.02132,0.0113904,0.730362,2.40787,-0.436589,0.843041,0.132338,0.919705,1.35833
12,16,16,0,8,2,0.398797,0.0297637,8.39335e-07,6.26426e-08,-0.0239304,1.02132,0.0113904,0.730362,2.40787,-0.436589,0.843041,0.132338,0.919705,1.35833
12,16,16,0,16,0,0.00035965,2.68419e-05,8.39335e-07,6.26426e-08,-0.0239304,1.02132,0.0113904,0.730362,2.40787,-0.436589,0.843041,0.132338,0.919705,1.35833
12,16,16,0,16,1,0.00817215,0.000609917,8.39335e-07,6.26426e-08,-0.0239304,1.02132,0.0113904,0.730362,2.40787,-0.436589,0.843041,0.132338,0.919705,1.35833
12,16,16,0,16,2,0.0042659,0.000318379,8.39335e-07,6.26426e-08,-0.0239304,1.02132,0.0113904,0.730362,2.40787,-0.436589,0.843041,0.132338,0.919705,1.35833
12,16,16,0,32,0,4.87018e-09,3.63479e-10,8.39335e-07,6.26426e-08,-0.0239304,1.02132,0.0113904,0.730362,2.40787,-0.436589,0.843041,0.132338,0.919705,1.35833
12,16,16,0,32,1,1.24079e-07,9.26049e-09,8.39335e-07,6.26426e-08,-0.0239304,1.02132,0.0113904,0.730362,2.40787,-0.436589,0.843041,0.132338,0.919705,1.35833
12,16,16,0,32,2,3.02893e-07,2.2606e-08,8.39335e-07,6.26426e-08,-0.0239304,1.02132,0.0113904,0.730362,2.40787,-0.436589,0.843041,0.132338,0.919705,1.35833
13,16,16,0,8,0,4.49788,0.219431,7.84646e-07,3.82794e-08,-0.121953,0.963072,0.0106422,0.760173,2.4272,0.287851,0.952043,0.0337253,0.792369,1.76099
13,16,16,0,8,1,0.49788,0.0242893,7.84646e-07,3.82794e-08,-0.121953,0.963072,0.0106422,0.760173,2.4272,0.287851,0.952043,0.0337253,0.792369,1.76099
